stock_code,ROE_AVG,ROA2,CATOASSETS,ASSETSTOEQUITY,CURRENT,report_date
000538.SZ,10.4456,8.4998,67.5208,1.3478,2.851,2023-12-31
000539.SZ,4.5992,3.2025,19.8076,4.7538,0.6817,2023-12-31
000541.SZ,5.068,2.3724,56.2647,1.7331,1.4347,2023-12-31
000543.SZ,10.8098,4.9883,13.2447,2.9726,0.5355,2023-12-31
000544.SZ,12.1254,5.5325,18.7415,4.3827,0.8654,2023-12-31
000545.SZ,-10.2252,-5.5344,33.7224,1.797,0.7711,2023-12-31
000546.SZ,-14.9859,-10.4715,37.3522,1.5819,1.4956,2023-12-31
000547.SZ,-24.5016,-16.7871,55.669,1.6333,1.5903,2023-12-31
000548.SZ,7.7032,6.9664,66.9776,1.4994,2.6152,2023-12-31
000550.SZ,15.0618,2.0807,66.4974,2.9185,1.0508,2023-12-31
000551.SZ,6.7008,4.7485,65.3239,1.8515,1.5347,2023-12-31
000552.SZ,12.0249,7.6594,37.3007,1.8751,1.6161,2023-12-31
000553.SZ,-7.1295,-1.1102,53.4638,2.5271,1.5678,2023-12-31
000554.SZ,3.6929,3.3343,43.9647,1.8704,1.1569,2023-12-31
000555.SZ,3.3806,1.8712,79.5041,2.0225,1.5982,2023-12-31
000557.SZ,4.236,3.9595,38.6501,1.0721,6.4478,2023-12-31
000558.SZ,5.1807,3.8586,17.9014,1.5709,1.0492,2023-12-31
000559.SZ,9.3588,4.9301,59.4379,2.3083,1.1647,2023-12-31
000560.SZ,-8.5822,-0.7516,36.4494,3.3879,0.7122,2023-12-31
000561.SZ,2.8311,1.8358,77.893,2.1187,1.6472,2023-12-31
000563.SZ,6.5001,,,1.4064,,2023-12-31
000564.SZ,-22.3757,-8.345,15.8125,2.4123,0.8188,2023-12-31
000565.SZ,-2.742,-2.2156,35.5953,1.2413,2.7911,2023-12-31
000566.SZ,-5.0382,0.505,33.8863,3.3479,0.6703,2023-12-31
000567.SZ,16.5722,13.3926,38.7472,1.7231,2.1642,2023-12-31
000568.SZ,35.0437,30.3976,71.6625,1.524,4.5039,2023-12-31
000570.SZ,3.2466,2.7971,56.1403,1.4868,1.9509,2023-12-31
000571.SZ,-29.7764,3.0294,29.0386,2.5759,0.6907,2023-12-31
000572.SZ,-10.1072,-2.6911,57.2039,2.6523,0.954,2023-12-31
000573.SZ,3.9745,2.9971,58.1121,1.4061,3.0106,2023-12-31
000576.SZ,-13.8552,-12.6735,46.356,1.1281,7.0053,2023-12-31
000581.SZ,9.9055,7.0275,48.8615,1.3917,1.9209,2023-12-31
000582.SZ,8.5035,5.8047,10.5783,2.107,0.5332,2023-12-31
000584.SZ,-50.8611,-9.0247,65.8455,7.4795,0.8579,2023-12-31
000586.SZ,6.1683,3.9867,85.1752,1.696,2.1552,2023-12-31
000589.SZ,12.3004,5.8812,47.4938,2.474,1.0206,2023-12-31
000590.SZ,3.5504,2.7527,46.8719,1.5808,2.1689,2023-12-31
000591.SZ,7.0503,5.4038,34.152,2.0525,2.0244,2023-12-31
000592.SZ,-13.906,-3.4572,80.9298,1.9246,1.717,2023-12-31
000593.SZ,-24.7625,-8.5981,30.4538,2.2324,0.7753,2023-12-31
000595.SZ,-28.6161,-13.3772,50.6237,2.0197,1.5115,2023-12-31
000596.SZ,22.9194,18.9114,72.0142,1.5803,2.0557,2023-12-31
000597.SZ,7.5089,2.8227,64.0519,2.9607,1.0224,2023-12-31
000598.SZ,11.7335,5.9865,17.7311,2.4479,0.7769,2023-12-31
000599.SZ,-7.7805,-0.4228,41.0097,4.6942,0.671,2023-12-31
000600.SZ,1.7007,2.3441,17.934,3.0753,0.7391,2023-12-31
000601.SZ,-6.0273,-0.2732,25.797,2.8347,0.9585,2023-12-31
000603.SZ,4.8498,5.4288,27.149,1.6758,0.964,2023-12-31
000605.SZ,0.9541,1.9806,29.6368,3.0155,0.7465,2023-12-31
000607.SZ,5.5012,2.961,42.7389,2.0622,0.9974,2023-12-31
000608.SZ,-9.1744,-4.3908,2.7304,1.4856,0.1802,2023-12-31
000609.SZ,-38.3236,-3.5685,93.0532,5.8046,1.2687,2023-12-31
000610.SZ,-26.8202,-6.2352,32.8914,4.7034,0.7415,2023-12-31
000612.SZ,10.6885,9.1475,31.978,1.3614,1.347,2023-12-31
000615.SZ,,-9.4135,16.0498,8.5875,0.5673,2023-12-31
000617.SZ,5.0341,1.2869,64.9083,5.8128,0.8048,2023-12-31
000619.SZ,-0.8423,1.1068,56.2607,1.9931,1.3205,2023-12-31
000620.SZ,15.1834,9.7758,66.895,2.4695,1.3933,2023-12-31
000622.SZ,-6.0878,-3.5391,56.6006,2.0854,1.5179,2023-12-31
000623.SZ,5.4833,5.0808,17.8052,1.1733,1.2859,2023-12-31
000625.SZ,16.8174,5.6407,68.8511,2.5464,1.2683,2023-12-31
000626.SZ,-13.339,-2.1576,73.5368,2.4764,1.5276,2023-12-31
000627.SZ,-3.1035,,,8.9771,,2023-12-31
000628.SZ,18.969,4.6034,85.3377,6.247,1.1904,2023-12-31
000629.SZ,10.1116,8.4864,42.473,1.2232,3.0131,2023-12-31
000630.SZ,9.441,8.9119,52.7066,1.981,1.7167,2023-12-31
000631.SZ,5.5066,5.1983,87.7138,1.1421,7.0527,2023-12-31
000632.SZ,-21.3954,-1.3096,60.9667,4.8149,1.0266,2023-12-31
000633.SZ,3.3019,3.7087,54.6358,1.308,5.6919,2023-12-31
000635.SZ,-34.5054,-22.5751,13.898,1.6745,0.4709,2023-12-31
000636.SZ,1.4576,0.3271,44.6223,1.289,2.586,2023-12-31
000637.SZ,-15.8995,-2.7862,26.7739,2.8594,0.516,2023-12-31
000638.SZ,-3.0093,-0.5451,35.6241,2.1834,0.7325,2023-12-31
000639.SZ,-0.5063,0.4835,43.6571,1.8286,1.1607,2023-12-31
000650.SZ,9.6688,11.5486,61.5703,1.1187,6.1034,2023-12-31
000651.SZ,27.1759,8.1839,61.9858,3.0507,1.1351,2023-12-31
000001.SZ,3.1176,,,11.7991,,2024-03-31
000002.SZ,-0.1444,0.1106,75.8996,3.6639,1.3847,2024-03-31
000004.SZ,-5.6533,-2.795,76.9115,2.2096,1.5796,2024-03-31
000005.SZ,-0.1503,-0.0367,55.5231,2.151,1.7162,2024-03-31
000006.SZ,-0.3822,0.0659,83.8906,3.4755,1.7529,2024-03-31
000007.SZ,0.5082,0.2471,70.5795,2.8685,2.185,2024-03-31
000008.SZ,-1.3777,-0.0998,45.719,2.959,0.7496,2024-03-31
000009.SZ,0.7086,0.851,58.1433,2.4291,2.001,2024-03-31
000010.SZ,-11.0587,-0.3616,72.4293,14.379,0.7912,2024-03-31
000011.SZ,0.0099,0.0141,88.944,3.5937,1.5248,2024-03-31
000012.SZ,2.2894,1.3449,31.0581,2.0973,1.0771,2024-03-31
000014.SZ,2.7566,2.5134,86.2716,1.3554,3.3945,2024-03-31
000016.SZ,-9.4655,-1.3223,45.8487,6.7374,0.936,2024-03-31
000017.SZ,1.0361,1.1942,97.4587,1.1399,8.0883,2024-03-31
000019.SZ,1.3157,1.0381,54.9257,1.4468,1.9106,2024-03-31
000020.SZ,1.457,1.1552,59.3088,1.5921,1.613,2024-03-31
000021.SZ,1.1086,0.785,59.4733,2.2427,1.196,2024-03-31
000023.SZ,,-1.3729,75.5967,24.5767,0.8571,2024-03-31
000025.SZ,2.1737,1.8608,36.2788,1.3976,1.5386,2024-03-31
000026.SZ,2.2412,2.4025,73.2669,1.2153,4.4412,2024-03-31
000027.SZ,2.3438,1.344,25.2744,2.8316,1.1434,2024-03-31
000028.SZ,2.2078,1.1822,77.7454,2.4056,1.445,2024-03-31
000029.SZ,0.0514,0.0013,90.6179,1.7125,2.3363,2024-03-31
000030.SZ,2.0998,1.2267,48.0291,1.8573,1.2282,2024-03-31
000031.SZ,-0.6801,0.5094,72.899,4.295,1.4986,2024-03-31
000032.SZ,0.263,0.5613,80.4853,4.9152,1.2368,2024-03-31
000034.SZ,2.6957,1.1253,79.6069,4.7034,1.2042,2024-03-31
000035.SZ,1.8848,1.1852,19.7927,2.5863,0.7103,2024-03-31
000036.SZ,0.39,0.4157,69.5408,1.299,4.4489,2024-03-31
000037.SZ,-2.0116,-1.2633,47.3055,1.5099,2.1658,2024-03-31
000039.SZ,0.1716,0.5394,57.162,2.5867,1.2175,2024-03-31
000040.SZ,-0.1461,0.0869,47.2796,2.1306,1.2817,2024-03-31
000042.SZ,1.4855,0.9585,82.0947,5.5178,1.7849,2024-03-31
000045.SZ,0.7183,0.7273,54.4852,1.3682,3.4377,2024-03-31
000046.SZ,,-1.3131,,,,2024-03-31
000048.SZ,1.3931,0.9267,34.3805,2.9826,0.6571,2024-03-31
000049.SZ,0.6915,0.3502,66.8716,2.4643,1.7147,2024-03-31
000050.SZ,-1.082,-0.0696,27.0899,2.8412,1.0228,2024-03-31
000055.SZ,0.8579,0.4857,47.514,2.1937,1.1926,2024-03-31
000056.SZ,-8.5302,0.754,11.4263,9.9081,0.1724,2024-03-31
000058.SZ,1.2322,0.9447,62.9434,2.1155,1.6052,2024-03-31
000059.SZ,-3.5683,-1.5584,55.7071,1.9302,5.0415,2024-03-31
000060.SZ,1.8017,1.1675,41.0349,2.6538,1.5757,2024-03-31
000061.SZ,1.3414,0.9453,18.1759,2.6138,0.4404,2024-03-31
000062.SZ,0.797,0.8833,69.5231,2.0438,1.6003,2024-03-31
000063.SZ,3.9474,1.4811,79.6659,2.9259,1.9551,2024-03-31
000065.SZ,3.0724,1.3937,60.2855,2.5406,1.4956,2024-03-31
000066.SZ,-1.9993,-0.5961,60.1821,2.5243,1.985,2024-03-31
000068.SZ,-3.4322,-0.558,36.364,3.9216,0.8017,2024-03-31
000069.SZ,-0.5702,0.1895,74.1745,4.2542,1.7396,2024-03-31
000070.SZ,0.741,0.6411,68.289,3.4571,1.5099,2024-03-31
000078.SZ,1.41,0.9226,89.0083,7.675,1.0378,2024-03-31
000088.SZ,1.9148,1.274,17.3708,1.4771,1.4876,2024-03-31
000089.SZ,0.8473,0.8551,15.4342,2.1396,1.2853,2024-03-31
000090.SZ,0.6671,0.2464,83.97,4.4885,1.3384,2024-03-31
000096.SZ,0.2531,0.2617,42.4989,1.0629,12.9182,2024-03-31
000099.SZ,1.6242,1.7235,44.2171,1.2125,5.2968,2024-03-31
000100.SZ,0.4502,0.171,28.3706,2.6953,1.0677,2024-03-31
000151.SZ,-5.8884,-1.3541,79.4945,4.2282,1.0863,2024-03-31
000153.SZ,2.4553,1.6071,45.169,2.3865,0.9429,2024-03-31
000155.SZ,5.4722,2.7148,36.8948,2.218,1.7553,2024-03-31
000156.SZ,0.7494,0.3318,42.4328,1.8854,1.2043,2024-03-31
000157.SZ,1.6123,0.8401,59.4697,2.2148,1.5976,2024-03-31
